පටුන
හැඳින්වීම	i-iii
අ		පි.1-160		
ඉ		පි.160-170
උ		170-189		
ඍ		189
එ		189-194		
ඔ		194-198
ක		198-249		
ඛ		149-252
ග		252-267		
ඝ		267-268
ච		268-285		
ඡ		285-289
ජ		289-301		
ඤ		301-303
ඥ		303			
ඨ		303-304
ත		304-339		
ථ		339-341
ද		341-394		
ධ		394-433
න		433-472		
ණ		472
ප		472-569		
ඵ		569-570
බ		570-616		
භ		616-654
භ		616-654		
ම		654-709
ය		709-723		
ර		724-739
ල		739-750		
ව		750-802
ස		802-947		
ශ		947-961
ෂ		961-962		
හ		962-968
සුචිය		     969-1010 
ආශ්‍රිත ග්‍රන්ථ				    1011-1017
උපග්‍රන්ථ 1,2,3,4,5,6			    1018-1244 
සිතියම්	                                      1245
